ID	SubSystem	Description	Current Value	Message	Kept By	Available Domains	Edit?
88	SYSTEM	Do it Best Telecomm on System	No		System	*System	Yes
89	SYSTEM	Use the keypad minus sign (-) for the Misc. Menu?	Yes		System	*System	Yes
92	DEVELOPMENT	Include blank fields in Enhanced Forms XML invoice	No		System	*System	Yes
93	SYSTEM	"Enable shortcut keys (t,n,p,b,e) in date fields"	No		Terminal	"System, *Terminal"	Yes
98	DEVELOPMENT	Use down-rev printer routines on level 11.5	No		System	*System	Yes
99	SYSTEM	Eagle network report printing print mode (Dot matrix printers only!)	Standard (Win 95 or 98 or ME)		System	"*System, Store"	Yes
100	SYSTEM	"Startup display orientation for reports is ""landscape"" (wide)?"	Yes		Terminal	"System, Store, User, *Terminal, Session"	Yes
102	SYSTEM	Views - Limit to Lockin Store	No		User	"System, Store, *User"	Yes
103	SYSTEM	# of days to keep spooled reports	10		System	*System	Yes
105	SYSTEM	# of days to keep unsent email	14		System	*System	Yes
107	SYSTEM	# of days to keep usage history for Eagle Functions	35		System	*System	Yes
108	SYSTEM	Days to keep Voided POS Transactions	120		System	*System	Yes
110	SYSTEM	Windows Label Printer Name			Terminal	*Terminal	Yes
115	SYSTEM	Viewers - Maximum records read on a search	20000		System	*System	Yes
120	POS	Support for Deli Label	No		System	*System	Yes
135	SYSTEM	Ebrowser applications menu	1=Menu with no submenus		System	"*System, Store, Terminal"	Yes
137	SYSTEM	Eagle Browser version to use	1=Version 1		System	*System	Yes
140	SYSTEM	Default Eagle Browser font size	Large Fonts		System	"*System, Store, User, Terminal"	Yes
150	SYSTEM	Eagle Browser link 1 title	Live Meeting		System	"*System, Store, User, Terminal"	Yes
151	SYSTEM	Eagle Browser link 1 value	www.livemeeting.com/cc/activant/		System	"*System, Store, User, Terminal"	Yes
154	SYSTEM	Eagle Browser link 2 title	Activant Support Desk Portal		System	"*System, Store, User, Terminal"	Yes
155	SYSTEM	Eagle Browser link 2 value	http://supportdesk.activant.com		System	"*System, Store, User, Terminal"	Yes
158	SYSTEM	Eagle Browser link 3 title			System	"*System, Store, User, Terminal"	Yes
159	SYSTEM	Eagle Browser link 3 value			System	"*System, Store, User, Terminal"	Yes
162	SYSTEM	Eagle Browser link 4 title			System	"*System, Store, User, Terminal"	Yes
163	SYSTEM	Eagle Browser link 4 value			System	"*System, Store, User, Terminal"	Yes
164	SYSTEM	Eagle Browser Zone 2	None		System	"*System, Store, User, Terminal"	Yes
165	SYSTEM	Eagle Browser Zone 2 URL			System	"*System, Store, User, Terminal"	Yes
166	SYSTEM	Eagle Browser Zone 3	None		System	"*System, Store, User, Terminal"	Yes
167	SYSTEM	Eagle Browser Zone 3 URL			System	"*System, Store, User, Terminal"	Yes
171	SYSTEM	Use web version of the Training Browser over the Internet?	No		System	"*System, Store, User, Terminal"	Yes
172	SYSTEM	Custom Training Browser web address (URL) on www.activant.com.			System	"*System, Store, User, Terminal"	No
185	SYSTEM	Automatically roll the Date Table at the start of a new year	Yes		System	*System	Yes
200	SYSTEM	Options Default Grid	Options Maintenance		User	"System, Store, *User, Terminal"	Yes
250	BUSADV	Show Business Advisor viewers in separate windows	Yes		System	*System	Yes
255	BUSADV	Do transfers from this store update Business Advisor?	No		Store	*Store	Yes
310	POS	QuickRecall number of years to keep charge customer transactions			System	*System	Yes
311	SYSTEM	Days to store credit card numbers in Quick Recall	99999		System	*System	Yes
400	A/P	Create Adv Rcvg vouchers for current period	Yes		System	*System	Yes
420	A/P	Require vendor reference # on temp voucher	No		System	"*System, Store, User"	Yes
425	A/P	Accounts Payable transaction full clear	No		System	*System	Yes
428	A/P	Rewrite user ID on voucher	No		System	*System	Yes
430	A/P	Validate the AP account number in Vendor Maintenance	No		System	*System	Yes
496	SYSTEM	Field Sizes - Limit access to legacy functions	Yes		System	"*System, Store, User, Terminal"	No
520	SYSTEM	Default for reports Large Format field	No		System	*System	Yes
846	POS	Daily Journal Viewer enabled	Yes		System	*System	Yes
860	A/R	ROA Multiple Allowances Allowed	Yes		System	*System	Yes
904	A/R	Print store name on A/R statements tiled invoices	M=Follow MIV - Print invoices with store name flag		System	"*System, Store"	Yes
905	A/R	Layout to use for A/R statements tiled invoices	Retail Form		System	"*System, Store"	Yes
907	A/R	Duplex print statements when printing laser statements	No		System	"*System, Store"	Yes
908	A/R	Duplex print invoices when printing laser statements	No		System	"*System, Store"	Yes
909	A/R	Duplex printing forces invoices to begin on a new page	No		System	"*System, Store"	Yes
914	A/P	Use New Canadian Check Format when printing Accounts Payable checks	No		System	"*System, Store"	Yes
916	A/R	Language used to print laser statements	English		System	*System	Yes
1059	SYSTEM	Home Hardware E4W Telecomm on System	No		System	*System	Yes
1092	INVENTORY	Enhanced Price Formulas on System	No		System	*System	Yes
1098	SYSTEM	NetAccess.net on system	No		System	*System	Yes
1099	SYSTEM	CHILKAT on System	No		System	*System	Yes
2000	INVENTORY	Store specific fields to copy to synchronize with other stores (IMU)	E5		System	"*System, Store, User, Terminal"	Yes
2405	SYSTEM	Custom field label for 'Store' in Eagle for Windows	S t o r e		System	*System	No
2410	SYSTEM	Custom field labels for 'Clerk' in Eagle for Windows	C l e r k		System	*System	No
2415	SYSTEM	Custom field labels for 'Class' in Eagle for Windows	C l a s s		System	*System	No
2420	SYSTEM	Custom field labels for 'Fineline' in Eagle for Windows	F i n e l i n e		System	*System	No
2425	SYSTEM	Custom field labels for 'Item/SKU' in Eagle for Windows	C=I t e m / S K U		System	*System	No
2509	SYSTEM	Long SKU - Include Mfg Part # in SKU lookups and typematic searches	Yes		System	*System	Yes
2511	SYSTEM	Long SKU/Part - Include Alternate Part # in lookups and typematic search	Yes		System	"*System, Local INI"	Yes
2600	CATALOG	"Smart item lookup by Sku, UPC, Mfg Part #"	Yes		System	*System	Yes
2602	CATALOG	Catalog 'image set' support for multiple catalogs	Single Image Set and/or Before May 2003		System	*System	Yes
2604	CATALOG	Alternate part number mapping when looking for images in WinIMU	No Mapping. Use SKU Only		System	*System	Yes
2606	CATALOG	Update the discontinued flag when adding items from the Catalog	Yes		System	*System	Yes
2610	CATALOG	Use True Value enhanced image logic?	Y=Use True Value Images (No custom images).		System	*System	Yes
2800	PURCHASING	True Value - Broken carton charge percent	0		System	"*System, Store"	Yes
2801	PURCHASING	True Value - Apply broken carton charge to PO's created by RSO	No		System	"*System, Store"	Yes
2802	PURCHASING	Default next/previous method for WinPUR	PO#		System	"*System, Store, User, Terminal"	Yes
2804	PURCHASING	WinPUR posting - Default view for Inventory Viewer	*PURCHASING OVERSTOCK		System	"System, Store, User, *Terminal"	Yes
2806	PURCHASING	Display warning when posting a discontinued item	Yes		System	"*System, Store, User, Terminal"	Yes
2808	PURCHASING	Display the market download and direct mail viewer in expanded format?	Yes		System	*System	Yes
2810	PURCHASING	RDI create defective purchase orders	S=Policy A items only.  One PO for each store.		System	"*System, Store"	Yes
2812	PURCHASING	RDI defective purchase order vendor code	ACE		System	"*System, Store"	Yes
2814	PURCHASING	RDI defective purchase order affiliate	No Affiliate		System	"*System, Store"	Yes
2816	POS	Use consolidated format on RDI by department	No		System	*System	Yes
2817	PURCHASING	RDI - Use Code position to identify items excluded from defective POs			System	*System	Yes
2818	PURCHASING	RDI - Code value that identifies items excluded from defective POs			System	*System	Yes
2820	PURCHASING	Display warning if none of the item's vendors match the PO Vendor	Yes		System	"*System, Store, User, Terminal"	Yes
2823	PURCHASING	Display add/replace/new menu when item already on PO	Yes		System	"*System, Store, User, Terminal"	Yes
2825	PURCHASING	Allow cost to be marked as a promo/temp cost	No		System	"*System, Store"	Yes
2830	PURCHASING	Receiving report (RRP) prints cancelled/deleted items	No		System	*System	Yes
2835	PURCHASING	"Display ""PO Exceptions"" when recalling and displaying a PO"	Yes		System	"*System, Store, User, Terminal"	Yes
2837	PURCHASING	Put Special Order # in the Generated PO's Alt PO # field	Yes		System	*System	Yes
2839	POS	Record special ordered stock items as unusual usage	No		System	"*System, Store"	Yes
2841	PURCHASING	Queued Suggested Order Report (RSO) uses same or new PO#	New		System	"*System, Store"	Yes
2845	PURCHASING	Print Pay to Vendor information on the P.O.	Yes		System	"*System, Store"	Yes
2847	AOE	Print Ship Via on Laser Receiver (RRP) for special order items	No		System	*System	Yes
2849	PURCHASING	Print locations on Laser Receiver (RRP)	Yes		System	*System	Yes
2900	RF	Receiving printer type	QL320		System	"*System, Store, User, Terminal"	Yes
2902	RF	Receiving print labels	Prompt		System	"*System, Store, User, Terminal"	Yes
2904	RF	Receiving label format	Small		System	"*System, Store, User, Terminal"	Yes
2906	RF	Receiving print price	Yes		System	"*System, Store, User, Terminal"	Yes
2908	RF	Receiving number of labels	1		System	"*System, Store, User, Terminal"	Yes
2910	RF	Receiving add SKU to P.O.	Prompt		System	"*System, Store, User, Terminal"	Yes
2912	RF	Receiving add UPC code	Prompt		System	"*System, Store, User, Terminal"	Yes
2914	RF	Receiving display committed quantity	Yes		System	"*System, Store, User, Terminal"	Yes
2915	RF	Receiving display special order information	Yes		System	"*System, Store, User, Terminal"	Yes
2916	RF	Receiving method	PO#		System	"*System, Store, User, Terminal"	Yes
2917	RF	Receiving display multiple SKU occurrences on a specific PO	Yes		System	"*System, Store, User, Terminal"	Yes
2918	RF	When Receiving Method is by SKU return to SKU List after posting	Yes		System	"*System, Store, User, Terminal"	Yes
2919	RF	Shelf Manager-Default Mode	2=Price Check		System	"*System, Store, User, Terminal"	Yes
2920	RF	Shelf Manager printer type	QL320		System	"*System, Store, User, Terminal"	Yes
2922	RF	Shelf Manager print labels	Prompt		System	"*System, Store, User, Terminal"	Yes
2924	RF	Shelf Manager label format	Small		System	"*System, Store, User, Terminal"	Yes
2926	RF	Shelf Manager print price	Yes		System	"*System, Store, User, Terminal"	Yes
2928	RF	Shelf Manager number of labels	1		System	"*System, Store, User, Terminal"	Yes
2930	RF	Shelf Manager add QOH to PIP	Y=QOH counts are added to PIP		System	"*System, Store, User, Terminal"	Yes
2932	RF	Shelf Manager add UPC code	Prompt		System	"*System, Store, User, Terminal"	Yes
2934	RF	Shelf Manager price to display	Retail		System	"*System, Store, User, Terminal"	Yes
2936	RF	"Shelf Manager increment value for location mode ""I"""	1		System	"*System, Store, User, Terminal"	Yes
2938	RF	Shelf Manager-Default location(s) in PIP count screen with IMU locations	Yes		System	"*System, Store, User, Terminal"	Yes
2939	RF	Shelf Manager-Default initial PIP count to 1	Yes		System	"*System, Store, User, Terminal"	Yes
2940	RF	Network printer number for RF labels	1		System	"*System, Store, Terminal"	Yes
2942	RF	RF network label format 'L'	Default flex-label 'L' for RF		System	"*System, Store, User, Terminal"	Yes
2943	RF	RF network label format 'S'	Default flex-label 'S' for RF		System	"*System, Store, User, Terminal"	Yes
2944	RF	RF network label format 'A'	Default flex-label 'S' for RF		System	"*System, Store, User, Terminal"	Yes
2945	RF	RF network label format 'B'	Default flex-label 'S' for RF		System	"*System, Store, User, Terminal"	Yes
2946	RF	RF network label format 'C'	Default flex-label 'S' for RF		System	"*System, Store, User, Terminal"	Yes
3030	INVENTORY	Allow quantity breaks for non-discountable items	No		System	*System	Yes
3036	ALERT	Stockout alert threshold	0		System	*System	Yes
3037	INVENTORY	Allow deleting items in Inventory Maintenance if QOH is not zero	Yes		System	"*System, Store, User"	Yes
3038	INVENTORY	Give warning if deleting an item that has any quantity > 0	Yes		System	"*System, Store, User"	Yes
3039	INVENTORY	Adding an item to another store initializes the store specific fields	Yes		System	*System	Yes
3040	INVENTORY	Display Sku for first store available if not in lockin	No		System	"*System, Store, User, Terminal"	Yes
3041	INVENTORY	"Smart item lookup by Sku, UPC, Mfg Part #"	Yes		System	*System	Yes
3042	INVENTORY	WinIMU Go To Menu displays entries that have a hyperlink	Yes		System	"*System, Store, User, Terminal"	Yes
3044	A/R	WinMCR Go To Menu displays entries that have a hyperlink	Yes		System	"*System, Store, User, Terminal"	Yes
3046	INVENTORY	Default for Backorder flag when adding vendors	No		System	*System	Yes
3047	PURCHASING	Use item level PO Backorder flag in Purchasing & Receiving	No follow PO Header's backorder setting		System	"*System, Store"	Yes
3052	RF	RF Shelf Manager multiple location codes	Yes		System	"*System, Store"	Yes
3053	RF	Scan bin tags with SKU prefixed with retail price	Yes		System	"*System, Store"	Yes
3054	RF	Scan Ace bin tags with SKU prefixed with order multiple	No		System	"*System, Store"	Yes
3055	INVENTORY	"Consider ""Unusual Usage"" (in ITR) in order point calculation"	No		Store	*Store	Yes
3056	INVENTORY	"Consider ""Lost Sales"" (in ITR) in order point calculation"	No		Store	*Store	Yes
3057	INVENTORY	"Consider ""Transfers-In"" (in ITR) in order point calculation"	No		Store	*Store	Yes
3058	INVENTORY	"Percentage of ""Lost Sales"" (in ITR) to use in order point calculation"	100		Store	*Store	Yes
3059	INVENTORY	"Consider ""Transfers-Out"" (in ITR) in order point calculation"	No		Store	*Store	Yes
3061	INVENTORY	Create G/L trx's from ITR records for standard inventory adjustments	X=Cannot be made eligible		System	*System	Yes
3070	INVENTORY	Allow printing bin labels in RBL from the Item Change File?	Yes		System	*System	Yes
3071	INVENTORY	Purge entries from the Item Change File after how many days	31		System	*System	Yes
3073	INVENTORY	Number of days to hold ITR adjustments with a zero cost	30		System	"*System, Store"	Yes
3075	INVENTORY	Physical Inventory - update Last Physical Date for a variance	Yes		System	*System	Yes
3076	INVENTORY	Update 'Last Physical Inv' date when making QOH changes in Win-IMU	Yes		System	"*System, Store"	Yes
3077	INVENTORY	"Default for inventory item's ""POS Decimal Quantities"" flag"	Yes		System	*System	Yes
3078	INVENTORY	Automatically open Add function when WinIPC launched with SKU	No		System	*System	Yes
3079	INVENTORY	Show catalog retail column in WinIPC	Yes		System	*System	Yes
3081	INVENTORY	"Default for WinIMU ""Synchronize Prices"" flag"	No		System	*System	Yes
3082	INVENTORY	"Default for WinIMU ""Synchronize Costs"" flag"	No		System	*System	Yes
3083	INVENTORY	"Default for WinIMU ""Region Code"""			System	"*System, Store"	No
3090	INVENTORY	Record Type list to use	1=Hardlines and Lumber		System	*System	Yes
3091	INVENTORY	"Show ""Record Type"" field in WinIMU?"	Yes		System	"*System, Store"	Yes
3092	POS	Should change in order quantity be recorded as lost sales?	No		Store	"System, *Store, User, Terminal"	Yes
3093	POS	Quantity to record as lost sale when order quantity changed	N=Quantity NOT Backordered		Store	"System, *Store, User, Terminal"	Yes
3094	SYSTEM	Lost sales on system	Yes		System	*System	Yes
3095	SYSTEM	Lost sale reason codes	Lost sale reason codes		System	*System	Yes
3096	SYSTEM	Usage adjustment reason codes	Usage adjustment reason codes		System	*System	Yes
3097	SYSTEM	Unusual usage on system	Yes		System	*System	Yes
3099	INVENTORY	Number of days to include in Lost Sales	0		System	*System	Yes
3100	G/L	Writeoff department's identifier	Z is leading character		System	*System	Yes
3103	G/L	RDJ-Z passoff to GL updates the G/L 'Reference' with the store number	No		System	*System	Yes
3105	G/L	RDJ G/L departmental passoff is by RDJ run date	Y=G/L trx's are created based on the run date of RDJ opt Z		System	*System	Yes
3107		Passoff G/L to Jonas Accounting System?	No		System	*System	Yes
3110	G/L	CIM - create GL passoff transaction types	Regular GL transactions only		System	*System	No
3112	G/L	EagleVision (CIM) Accounting Integration on System?	No		System	*System	Yes
3119	E4WDI	Print loading ticket to invoice printer	N=Do not print a loading ticket		System	"*System, Store, Terminal"	Yes
3120	POS	Note/Text to use for POS Loading Ticket Receipt			System	"*System, Store, User, Terminal"	Yes
3123	A/R	"Value to use when WinMCR ""Adding Name Allowed"" flag is blank"	Yes		System	*System	Yes
3125	A/R	Include store name on  faxed statements	No		System	"*System, Store"	Yes
3200	TELECOMM	Keep mil digit of transmitted member cost for Ace ERP	Yes		System	*System	Yes
3202	TELECOMM	ERP - Preserve highest retail	No		System	*System	Yes
3203	TELECOMM	ERP - Use price rounding table to round the retails	Yes		System	*System	Yes
3204	TELECOMM	Advantage ERP - Include lookup by UPC	No		System	"*System, Store"	Yes
3210	TELECOMM	ERP/EFM - Use code position to identify margin exception items	A1		System	*System	Yes
3211	TELECOMM	ERP/EFM - Code value that identifies margin exception items	M		System	*System	Yes
3212	TELECOMM	ERP - Retail Calc Options for margin exception items			System	*System	Yes
3215	TELECOMM	ERP/EFM - Use code position to identify price protected items	A1		System	*System	Yes
3216	TELECOMM	ERP/EFM - Code value that identifies price protected items	D		System	*System	Yes
3218	TELECOMM	Electronic price changes - Update pre-existing price change records	Yes		System	*System	Yes
3220	TELECOMM	Ace EFM - add items to all specified stores	No		System	*System	Yes
3221	TELECOMM	Ace EFM - Allow 'Class / Fineline Updates'	No		System	"*System, Store"	Yes
3222	TELECOMM	Ace ERP - add non-stocked Bulletin items to target PO and also to WinIMU	Yes		System	*System	Yes
3223	TELECOMM	True Value ERP cancel items	No		System	*System	Yes
3225	TELECOMM	Create price change records when ever the price or cost changes?	Yes		System	*System	Yes
3226	INVENTORY	Use ACESKU logic for assigning new SKUs?	No		System	*System	Yes
3227	TELECOMM	Allow 'Percent Off' Promotions' with Ace EFM?	Yes		System	*System	Yes
3230	TELECOMM	Site identification code sent with EDI transmissions			Store	*Store	Yes
3235	TELECOMM	Update True Value Catalog with EVP	No		System	*System	Yes
3236	TELECOMM	Transmit price changes from E4W to True Value	No		System	"*System, Store"	Yes
3237	TELECOMM	Price to use when adding items from True Value catalog	Retail Price		System	*System	Yes
3240	TELECOMM	Do Telecomm applications update the Primary UPC flag?	No		System	*System	Yes
3241	TELECOMM	Calculate a new retail even when the cost changes by less than a penny	No		System	*System	Yes
3243	TELECOMM	Create price change records only for items whose cost has changed	No		System	*System	Yes
3245	TELECOMM	Add DIB price changes even if UOMs don't match?	No		System	*System	Yes
3247	TELECOMM	Report all changes when the DIB catalog is updated?	No		System	*System	Yes
3249	TELECOMM	DIB ERP Merge SKUs with Different Costs	No		System	*System	Yes
3250	TELECOMM	True Value - Coupon SKUs are added as taxable?	No		System	*System	Yes
3251	TELECOMM	True Value EFM - Always add TVR coupon SKUs?	No		System	"*System, Store"	Yes
3253	TELECOMM	True Value EFM - Always add NTL coupon SKUs?	No		System	"*System, Store"	Yes
3255	TELECOMM	True Value EFM - Always add TDM coupon SKUs?	No		System	"*System, Store"	Yes
3257	TELECOMM	True Value EFM - Update long descriptions in E4W catalog?	Yes		System	*System	Yes
3259	TELECOMM	True Value EFM - Update images in E4W catalog?	Yes		System	*System	Yes
3301	ALERT	Alert from e-mail address			System	"*System, Store"	Yes
3304	ALERT	Number of days to keep current alerts	5		System	*System	Yes
3308	ALERT	Allow ACTIVANT to receive your alerts as an email	No		System	*System	Yes
3314	SYSTEM	Default view for Notifications Viewer	Notification Default		Terminal	"System, Store, User, *Terminal"	Yes
3315	ALERT	"Record ""Count List Received"" alerts"	No		System	*System	Yes
3319	ALERT	"Record ""Large % change on Price or Cost "" alerts"	No		System	*System	Yes
3320	ALERT	"Record ""QOH has gone to zero"" alerts"	No		System	*System	Yes
3321	ALERT	"Record ""Backordered item not sourced"" alerts"	No		System	*System	Yes
3322	ALERT	"Record ""QOH has gone negative"" alerts"	No		System	*System	Yes
3323	ALERT	"Record ""Order on Hold"" alerts"	No		System	*System	Yes
3324	ALERT	"Record ""Special or Backordered item received"" alerts"	No		System	*System	Yes
3325	ALERT	"Record ""Item added to Buyer's List"" alerts"	No		System	*System	Yes
3326	ALERT	"Record ""An iNet Order has been placed"" alerts"	Yes		System	*System	Yes
3327	ALERT	"Record ""Direct Ship needs to be invoiced"" alerts"	No		System	*System	Yes
3328	ALERT	"Record ""Telecom transmission failed"" alerts"	Yes		System	*System	Yes
3329	ALERT	"Record ""Transfer Created via RRP"" alerts"	Yes		System	*System	No
3330	ALERT	"Record ""Telecom transmission succeeded"" alerts"	No		System	*System	Yes
3331	ALERT	"True Value - Record ""Order Deadline Warning"" alerts"	No		System	*System	Yes
3332	ALERT	"Record ""Offline POS Transactions exist"" alerts"	Yes		System	*System	Yes
3334	ALERT	"Record ""Offline Database Refresh failed"" alerts"	Yes		System	*System	Yes
3335	ALERT	"Record ""AVS override performed"" alerts"	No		System	*System	Yes
3336	ALERT	"Record ""Gift card activation"" alerts"	Yes		System	*System	Yes
3337	ALERT	"True Value - Record ""PO Upload Success"" alerts"	No		System	*System	Yes
3338	ALERT	"Record ""Allow user-defined reminders"" alerts"	No		System	*System	Yes
3339	ALERT	"Record ""Kit could not be updated by RKR"" alerts"	Yes		System	*System	Yes
3340	ALERT	"Record ""Buyers signature missing"" alerts"	No		System	*System	Yes
3341	ALERT	"Record ""Promotion Pricing Date Change Needed"" alerts"	Yes		System	*System	Yes
3342	ALERT	"Record ""New customer added"" alerts"	No		System	*System	Yes
3343	ALERT	"Record ""TPW/IWS Order Sent"" alerts"	No		System	*System	Yes
3344	ALERT	"Record ""POS Training Mode started"" alerts"	No		System	*System	Yes
3345	ALERT	"Record ""Centralized Distribution PO"" in receipt alerts"	No		System	*System	No
3346	ALERT	"Record ""POS Training Mode ended"" alerts"	No		System	*System	Yes
3347	ALERT	"True Value - Record ""PO Upload Failed"" alerts"	No		System	*System	Yes
3348	ALERT	"Record ""FAX failure"" alerts"	Yes		System	*System	Yes
3349	ALERT	"Record ""Error updating item from FIL"" alerts"	Yes		System	*System	Yes
3352	E4WDI	Display electronic signature in E4W POS signature capture window	Yes		System	"*System, Store, User, Terminal"	Yes
3354	E4WDI	Print electronic signature on the POS receipt printer	Yes		System	"*System, Store, User, Terminal"	Yes
3356	E4WDI	Print electronic signature on the POS invoice printer	Yes		System	"*System, Store, User, Terminal"	Yes
3358	E4WDI	Print electronic signature on Laser Statement invoices	Yes		System	"*System, Store"	Yes
3360	E4WDI	Capture electronic signatures on orders/special orders	No		System	"*System, Store, User, Terminal"	Yes
3370	E4WDI	"Print buyer signature on laser printed, faxed or emailed purchase orders"	No		System	*System	Yes
3372	E4WDI	Require a buyer with a signature in Purchasing & Receiving	No		System	*System	No
3374	E4WDI	"Default buyer signature when laser printing, faxing or emailing from RPO"			System	*System	No
3378	POS	Include store name on POS Email documents.	No		System	"*System, Store"	Yes
3388	E4WDI	Electronic Journal format	Single Roll Layout		Terminal	"System, Store, *Terminal"	Yes
3400	SYSTEM	Print daily Boot Log to printer 01	Yes		System	*System	Yes
3405	SYSTEM	Print Async Transmission Log on boot log	No		System	*System	Yes
3410	SYSTEM	Print Bisync Transmission Log on boot log	No		System	*System	Yes
3430	SYSTEM	Print iNet Activity Log on boot log	No		System	*System	Yes
3440	SYSTEM	Print Report Queue Manager Log on boot log	No		System	*System	Yes
3445	SYSTEM	Print RFShelf Activity Log on boot log	No		System	*System	Yes
3460	SYSTEM	Print Sierra POS Log on boot log	No		System	*System	Yes
3465	SYSTEM	Print Special Order Activity Log on boot log	No		System	*System	Yes
3470	SYSTEM	Print Spooler Directory Maintenance Log on boot log	Yes		System	*System	Yes
3507	A/R	"Cash (*) accounts display Running Balance, Acct Highest Balance, & Aging"	Yes		System	*System	Yes
3511	POS	"Print Customer Sku line on Estimate, Order, Special Order"	N=Do not print customer SKU line		System	"*System, Store, User, Terminal"	No
3512	POS	Print Customer Sku line on Sales/Credits	N=Do not print customer SKU line		System	"*System, Store, User, Terminal"	No
3513	POS	Check for customer's open orders at start of new transaction	No do not check		Store	"System, *Store, User, Terminal"	Yes
3515	POS	Include address line one in customer lookup list	No		System	*System	Yes
3516	A/R	Include lookup by email address in Customer	No		System	*System	Yes
3517	A/R	Allow enhanced name(;) and phone number(-) lookup in the Customer or Job	Yes		System	"*System, Store, User, Terminal"	Yes
3520	A/R	Dot Document Lookups - Display list when document in multiple stores	No		System	*System	Yes
3522	A/R	"Print statements in ""apply to"" order"	No		System	*System	Yes
3523	A/R	A/R statements (RSM) print past detail for open item accounts	Yes		System	*System	Yes
3524	A/R	Number of months of invoices to print on collated statements	1		System	*System	Yes
3525	A/R	RSM includes scanned or remote signature capture documents with invoices	No Scanned or Remote Signature Capture Documents		System	*System	Yes
3530	A/R	Customer Loyalty - Use code position to identify non-asterisk accounts	4		Store	*Store	Yes
3531	A/R	Customer Loyalty - Code value that identifies non-asterisk accounts	H		Store	*Store	Yes
3533	A/R	Include the loyalty number in the alternate customer ID lookup (=)?	No		System	*System	Yes
3540	A/R	iNet default value for Windows MCR e-mail customer statements flag	No Statements		System	*System	Yes
3542	A/R	iNet default value for Windows MCR e-mail statements format	A=HTML attachment		System	*System	Yes
3550	A/R	"Multiple Open Quotes for main account, and Open Quote sharing allowed"	No		System	*System	Yes
3556	POS	Calculate due dates on unapplied credits same as invoices	No		System	*System	Yes
3565	A/R	Keep customer credit cards on system	N=Customer credit cards not kept on system		System	"*System, Store"	Yes
3573	POS	Post item(s) as non-taxable when item level tax code's rate is 0%?	Yes		System	*System	Yes
3575	A/R	Delete both documents of a Transaction Reversal	No		System	*System	Yes
3577	A/R	Statement discount calculation always includes credit documents	Yes		System	*System	Yes
3578	A/R	Print payment summary on A/R Statements (RSM)?	No		System	*System	Yes
3579	A/R	A/R Statement (RSM) remit-to store			System	*System	Yes
3580	A/R	WinROA - Balance Forward accounts display all jobs when job=ALL	No		System	*System	Yes
